NAME,state,B01003_001E,B01002_001E,B19301_001E,B17001_002E
Las Marías Municipio,Puerto Rico,9699,37.3,7000,5563
Añasco Municipio,Puerto Rico,29086,39.4,7892,14599
San Sebastián Municipio,Puerto Rico,41798,39.7,7174,22961
Bayamón Municipio,Puerto Rico,204725,38.6,12648,70734
Cataño Municipio,Puerto Rico,27669,35.6,10567,13563
Guánica Municipio,Puerto Rico,19019,37.4,6731,12000
Mayagüez Municipio,Puerto Rico,87161,37.6,9591,44034
Autauga County,Alabama,54907,37.5,24571,6615
Baldwin County,Alabama,187114,41.5,26766,25752
Barbour County,Alabama,27321,38.3,16829,6512
Bibb County,Alabama,22754,39.4,17427,3898
Blount County,Alabama,57623,39.6,20730,9023
Bullock County,Alabama,10746,39.6,18628,2211
Butler County,Alabama,20624,40.6,17403,5776
Calhoun County,Alabama,117714,38.7,20828,25105
Chambers County,Alabama,34145,42.4,19291,8114
Cherokee County,Alabama,26034,45,22030,5415
Chilton County,Alabama,43744,38,20701,8443
Choctaw County,Alabama,13687,44.2,20323,2904
Clarke County,Alabama,25573,40.3,18979,7416
Clay County,Alabama,13703,42.1,18694,2540
Cleburne County,Alabama,14945,41.3,19108,2728
Coffee County,Alabama,50468,37.8,23380,9238
Colbert County,Alabama,54456,41.7,21572,9651
Conecuh County,Alabama,13104,43.2,15605,4264
Coosa County,Alabama,11198,44.7,18493,2280
Covington County,Alabama,37847,42.4,20391,7446
Crenshaw County,Alabama,13955,40.6,21343,2621
Cullman County,Alabama,80499,40.4,20760,14903
Dale County,Alabama,50102,36.1,22685,8448
Dallas County,Alabama,43091,38,17245,15143
DeKalb County,Alabama,71076,38.8,18149,13966
Elmore County,Alabama,79895,37.8,23856,9930
Escambia County,Alabama,38169,39.4,16540,9087
Etowah County,Alabama,104260,40.3,20204,19507
Fayette County,Alabama,17110,43.5,18494,3349
Franklin County,Alabama,31666,38.3,18888,6848
Geneva County,Alabama,26791,41.9,20199,5591
Greene County,Alabama,8934,42.4,14930,2923
Hale County,Alabama,15594,40.7,18812,4065
Henry County,Alabama,17308,42.7,21924,2452
Houston County,Alabama,102326,38.6,23316,18238
Jackson County,Alabama,53171,42,20486,8397
Jefferson County,Alabama,658552,37.2,26906,115966
Lamar County,Alabama,14396,42.9,19026,3170
Lauderdale County,Alabama,92666,40.8,23510,15594
Lawrence County,Alabama,34009,41.2,20181,5923
Lee County,Alabama,144405,29.9,23506,30605
Limestone County,Alabama,85264,38.5,25020,11933
Lowndes County,Alabama,11086,41,18368,2937
Macon County,Alabama,20803,36.8,16826,5066
Madison County,Alabama,339279,37.4,31933,42565
Marengo County,Alabama,20669,41.8,22072,4913
Marion County,Alabama,30615,43.5,19576,6196
Marshall County,Alabama,93699,38.4,20382,18046
Mobile County,Alabama,413188,36.7,22501,79994
Monroe County,Alabama,22778,40.4,15749,6452
Montgomery County,Alabama,228980,34.8,24975,46855
Morgan County,Alabama,119673,39,23764,18564
Perry County,Alabama,10390,35.8,13716,2469
Pickens County,Alabama,19516,42.1,17153,5213
Pike County,Alabama,32977,31.6,19715,8563
Randolph County,Alabama,22819,41.5,19830,5437
Russell County,Alabama,55544,35.2,19678,12076
St. Clair County,Alabama,84521,38.9,23872,12527
Shelby County,Alabama,198366,37.3,33313,15538
Sumter County,Alabama,13552,37.2,14156,4958
Talladega County,Alabama,81845,40,19410,17989
Tallapoosa County,Alabama,41428,42,21434,8071
Tuscaloosa County,Alabama,196824,31.4,22637,35293
Walker County,Alabama,66622,41.8,20698,13688
Washington County,Alabama,17284,39.8,20395,3132
Wilcox County,Alabama,11531,39,13379,4400
Winston County,Alabama,24342,43.6,18995,5699
Aleutians East Borough,Alaska,3141,41.4,26535,523
Douglas County,Georgia,133486,35.3,23626,21227
Early County,Georgia,10787,39.4,17579,3324
Echols County,Georgia,4053,30.5,15861,1270
Effingham County,Georgia,52961,36,24824,5877
Elbert County,Georgia,19907,41.5,18835,4010
Emanuel County,Georgia,22669,37.1,17064,6396
Evans County,Georgia,10902,35.6,18998,2861
Fannin County,Georgia,23614,48.9,19164,5376
Fayette County,Georgia,107105,42.7,35344,8138
Floyd County,Georgia,96147,38,20500,19343
Forsyth County,Georgia,182916,37.3,34582,13836
Franklin County,Georgia,21998,40.2,18234,4024
Fulton County,Georgia,948554,34.3,36757,161757
Gilmer County,Georgia,28308,43.5,21317,6046
Glascock County,Georgia,3094,39.9,17984,641
Glynn County,Georgia,80280,40.1,26724,15148
Gordon County,Georgia,55409,36.3,19177,11415
Grady County,Georgia,25143,38.4,15734,7443
Greene County,Georgia,16091,46.9,27828,3547
Gwinnett County,Georgia,825911,34,25932,113986
Habersham County,Georgia,43181,38.7,18910,8415
Hall County,Georgia,182841,34.9,23645,33538
Hancock County,Georgia,9233,42.7,12381,2323
Haralson County,Georgia,28594,39.8,19789,6403
Harris County,Georgia,32267,42.5,31482,2542
Hart County,Georgia,25348,42.9,20371,6255
Heard County,Georgia,11708,39.9,18964,2813
Henry County,Georgia,206349,35.6,25299,22834
Houston County,Georgia,143205,34.4,25195,21483
Irwin County,Georgia,9571,37.6,18207,1872
Jackson County,Georgia,60577,37.5,23247,9540
Jasper County,Georgia,13748,37.9,21297,2955
